,0
0,1761.0
1,57.0
2,299.0
3,720.0
4,1795.0
5,789.0
6,629.0
7,1285.0
8,1285.0
9,1015.0
10,1470.0
11,229.0
12,822.0
13,1822.0
14,81.0
15,35.0
16,35.0
17,191.0
18,1175.0
19,1151.0
20,1786.0
21,547.0
22,514.0
23,23.0
24,1154.0
25,1721.0
26,1302.0
27,1063.0
28,516.0
29,920.0
30,98.0
31,496.0
32,335.0
33,1203.0
34,1182.0
35,726.0
36,549.0
37,1347.0
38,114.0
39,1038.0
40,61.0
41,1309.0
42,426.0
43,864.0
44,1019.0
45,1019.0
46,1007.0
47,944.0
48,1750.0
49,1588.0
50,1439.0
51,1439.0
52,1268.0
53,1107.0
54,1107.0
55,1107.0
56,1107.0
57,1107.0
58,1107.0
59,1107.0
60,1107.0
61,1107.0
62,1107.0
63,1107.0
64,1107.0
65,1107.0
66,1107.0
67,1107.0
68,1107.0
69,1107.0
70,1107.0
71,1107.0
72,1107.0
73,1107.0
74,1107.0
75,1107.0
76,1107.0
77,1107.0
78,1107.0
79,1107.0
80,1107.0
81,1107.0
82,1107.0
83,1107.0
84,1107.0
85,1107.0
86,1107.0
87,1107.0
88,1107.0
89,1107.0
90,1107.0
91,1107.0
92,1107.0
93,1107.0
94,1107.0
95,1107.0
96,1107.0
